;>999999999>strobert,>999999>Toaster,>999999>alestone,>999999>DDrew;96283
0000f4028030c7252e37a5f8330a047dbacfd6298ad88e22ea84c51578f39c28;miningbonus>1>null;4a31
0000f570fd211f85131499627498fcb2e30b9ed6f74f1b609c1968933788c196;miningbonus>1>null;f98f
00006b1d8f3ee62ce0cbf17d558919c4fdf8344b6ae431780082a4c1b29ef16c;miningbonus>1>null;3152
0000a6883493b27d043b7971c106bf3217ca30d1eb9fcfe67a2c1502cd4f1f67;miningbonus>1>null;1aa95
0000d43545b593542493a67a540a6d6140ae7bad78ddffdc805a2714f95ccea8;miningbonus>1>null;6eae
000016e9863e37c071a3d40e1fed606eac6a08f332f905a121ac1e1ecb6f54e6;miningbonus>1>null;c67a
0000f0e1d55b18447f2b7d670938d855a0861e60f7161ea393f82e3172a7a968;miningbonus>1>null;3811
000028499a8269c8abeb7a52bd7490c902c183511165dae03d75aa8d23c7b007;miningbonus>1>null;302b
0000013df5cca2c43404fae5b686cfa92580768b75d8251a115b454f039b8235;miningbonus>1>null;8abf
00002a7323ac707adfb97742cad766f6208842bb754ab0e61bf281c3a72687c7;miningbonus>1>null;7faa4
00001e14f96cf2b2d1da4b9a8d460e0c2436ede776b466fd7523e3ea18f92a78;miningbonus>1>null;113a6
0000107a908f375edf62d14be586837a1679a83661ea4ef0c6d0cfc08f74d0a9;miningbonus>1>null;8ddf
0000127572099596ff3e485b94df414558072c645d78d67c63f04194ec88fd54;miningbonus>1>null;3e9
0000db1c21335c95c3c6b113de50ced1fbcb372661676f21d0a79d5c0e829456;miningbonus>1>null;183f
0000af6e45749fc6d105c7175feddb9ce342464eae1d6e6448ca6dafc68a9f82;miningbonus>1>null;18dc
00003ff112f63ee958ea3a9f74c7938d011201d6771ca776c915e3346e4a71b5;miningbonus>1>null;265f7
00008142d7c341c4d9e4b2551043feeab81f14b94cac35904ae7b755cfa9266b;miningbonus>1>alestone;a4dc
0000a81fee40be033aedded2b40b42449ec96668c9d8aa73f5d66f914b323ba0;miningbonus>1>null;f2fe
0000709501fce950bf75dd97712fc62ea77b072d0891caf7c653c5545acee9c3;miningbonus>1>null;1ca86
00005092455e2c9978577c8919a1a7cd41f8e7609bf72df2facea2f4b513efda;miningbonus>1>alestone;c974
00004cb4464c2313c572211c76e9f831ab10d23becee1c340ecd07f06d70ba9a;miningbonus>1>alestone;5b03
0000dce0db25446db701832fc07cc062fed4e825ef4889f9d28042e756937165;miningbonus>1>alestone;18e61
0000ddecc3844ad07f470adf01deb1ce0d0f665e631dee56f92cc8bc9d8297d5;miningbonus>1>alestone;9de
0000297e864f86fedcb266a5c6ce4a934f3e020fbc62107ab9b0e41d4a2286aa;miningbonus>1>joshS;4f3d
0000e4d87a571436cd9b9228a342c9576c5bb91685de27f30379c137d3e07f8d;miningbonus>1>alestone;ef2c
0000c8838ac29c7a4495af3d5ae6c0ef4632920b990a6bfe644ecdaef69efe66;miningbonus>1>joshS;10bfe
0000e2e423fd0cb46678e65859af3cc13108a6c2e25dc8d3ea6fd9d075183862;miningbonus>1>alestone;3c25
000081ea167642af5564e688a81094d8a914efa3a9d93fcfb89460d41d418331;miningbonus>1>joshS;cc62
0000e1e5cecce26334dfffce954c74fc6f841ace4238df91baffc1fd645bfa90;miningbonus>1>alestone;39dd
0000db279d68cdf33e79a985f1be62eacdd0ffa87bb488e81fbe45abaa171a46;miningbonus>1>joshS;7e26
000025a0a58cf1ecb376af4a1050f957c7bdacbbe37dbf3974f538af32410514;miningbonus>1>alestone;42b7
00006a2b451bf7364de7c245c5ec1dab7af26254ba432b042291ee80aab44d6e;miningbonus>1>joshS;10941
000089b2e3ff5c002ece8f56167dd13e054bcbe4df28bde802f13b8d603e9655;miningbonus>1>alestone;1127d
0000081559278b9f58a0d2b8dfbce3cda6265b3d7ee9d28dbef6495c6fa54790;miningbonus>1>alestone;143b2
000080ada59fa7776823a584fad99ae212c6fb327263a88966747ea8f6a669ba;miningbonus>1>joshS;1d594
000095383f6ad42c24f77042a021c6b3c1e45dd7b18327cad9423df40dad75df;miningbonus>1>alestone;36fd
000032b741be95fdf9673e42b1cee8706aeb37360640fbe2b7267735347a346b;miningbonus>1>joshS;1b8fa
0000e083d111f422f3be89cfa4a1c43557f93482dd30b37497f3728208f29088;miningbonus>1>alestone;aacb
0000f327dbfe5176dbb20031eacab0311bd730682616fa7707f6a83310024f16;miningbonus>1>joshS;7eb1
00000c17af74e067d4f7beeecda93b546e66a0f20d138265e7f9db848fd5a83a;miningbonus>1>alestone;f716
0000a98317267394ad1572856b4084a7e74aa5ef592bacd0ade93294f9bcc880;miningbonus>1>alestone;29f2
0000eac5277513b4f982eb66fd6deaba8f6850013dabe385c79a97d3a4f608e1;miningbonus>1>joshS;147fc
000009b6661d029b0e92cf3379bd1cd1620b77e8c7cc422071db2b559d7a1176;miningbonus>1>alestone;763f
0000de47fa1bec6854ee5e88a87f8184be71145d13c2954865becc3736c7d547;miningbonus>1>joshS;22f8
000043c6aca83c4ca6540812b64a38e1dde94f4b8ad48ea6160fce3fbcc858bc;miningbonus>1>joshS;68cb
0000f6017513bab1ebc38b40f1c1b2ef153c657e50165d92df91fb76297419d5;miningbonus>1>alestone;22e90
0000ed1cd464155c5580e0746e07024f33de6c9cee312a2d206b81ed1ec43082;miningbonus>1>alestone;13dd3
00004e4e5525026fc911adeaf2aafb589314f3c0c6a296516a95ecdf747afb0e;miningbonus>1>joshS;18b8a
00000ac477be8578067c19babfbfd7beafc34a7b2746039ddf2443b859a9aa39;miningbonus>1>alestone;51dc
0000b336b14ba4ca4692b328af1b2b790c31b6a96928dfc319c77b69c3f2d237;miningbonus>1>joshS;2f8b
00003085daefa2c617cc22a6141411885bde4ce3b3be84ac091026c06796c7a5;miningbonus>1>alestone;14aca
0000395d0233357df3e1ff5b81d9f1881d5a8dcfdb9aa6242356c030dfecf32a;miningbonus>1>joshS;8996
00002136ed1e6a130c041d972938209463255e1dc78f4a2ac70413b9e09a4315;miningbonus>1>alestone;6894
0000ceadf2ef4d1da9db6deb931797d4f94b8f0f92d9fe61ae7f14e0740fe8b4;miningbonus>1>joshS;ad9c
0000e658ae1f58646a1571cfc0c2410929b46947b0b5002ee30e6b23e6f05404;miningbonus>1>alestone;46ab
0000f515ee5dcf356420c05335b5a7bae1773861f1fb67e79176a7e372b0e234;miningbonus>1>alestone;8fff
0000ffb781bc2957a2a51a555c111f4d3d5def69d5195beae2d6b0751d5d8b47;miningbonus>1>alestone;6c4d
00004db16e25fb4b993631e7887e1c5b04b2bc2c792475079e6022973a0677cd;miningbonus>1>alestone;24c2
00006a43643fbe83ca4442d638c56c604484ae482514a095b53b57b204fcd012;miningbonus>1>joshS;2d2b2
0000bd9d71bc83322d22403ed07e76d8a2ddf983cb70a6c91c04b3d435b5aeb3;miningbonus>1>alestone;1c26e
00005092455e2c9978577c8919a1a7cd41f8e7609bf72df2facea2f4b513efda;miningbonus>1>papa_spaghettiboi;2081
00009dec64dac64c3195617cb85b30bd5b6d9829f7bc6ea58af02a770afdce00;miningbonus>1>alestone;92e4
00008a744cf8719949b2fc86e7f7b68507ff4c6b5766f5725e99ef09289ecfca;miningbonus>1>joshS;135ed
